CustomerSK,Customer ID,First Name,Last Name,Age,Gender,City,Email,Segment_Label
1,1,Joshua,Hall,45,Male,Fort Worth,joshua.hall@kag.com,Mid-Value/Loyal
2,2,Mark,Taylor,47,Female,Louisville,mark.taylor@kag.com,Low-Value/New
3,3,Joseph,Flores,25,Female,Philadelphia,joseph.flores@kag.com,Low-Value/New
4,4,Kevin,Lee,52,Other,Oklahoma City,kevin.lee@kag.com,High-Value/Frequent
5,5,Linda,Johnson,68,Other,Phoenix,linda.johnson@kag.com,Low-Value/New
6,6,Charles,Torres,52,Male,El Paso,charles.torres@kag.com,High-Value/Frequent
7,7,Joshua,Garcia,43,Male,Dallas,joshua.garcia@kag.com,Mid-Value/Loyal
8,8,Christopher,Baker,47,Male,Memphis,christopher.baker@kag.com,Low-Value/New
9,10,William,Robinson,55,Other,Washington,william.robinson@kag.com,Mid-Value/Loyal
10,11,William,Perez,28,Male,San Diego,william.perez@kag.com,Low-Value/New
11,12,Nancy,Allen,37,Female,Oklahoma City,nancy.allen@kag.com,High-Value/Frequent
12,13,Margaret,Robinson,63,Female,Columbus,margaret.robinson@kag.com,Mid-Value/Loyal
13,14,Michelle,Taylor,48,Female,Colorado Springs,michelle.taylor@kag.com,Mid-Value/Loyal
14,15,Nancy,Nelson,51,Other,Atlanta,nancy.nelson@kag.com,High-Value/Frequent
15,16,Michael,Young,29,Male,Fresno,michael.young@kag.com,Mid-Value/Loyal
16,17,Lisa,Adams,65,Female,Austin,lisa.adams@kag.com,Mid-Value/Loyal
17,18,Mary,Wilson,45,Female,Omaha,mary.wilson@kag.com,Mid-Value/Loyal
18,19,Nancy,Martinez,20,Other,Tucson,nancy.martinez@kag.com,Mid-Value/Loyal
19,20,Amanda,Campbell,65,Other,Milwaukee,amanda.campbell@kag.com,Mid-Value/Loyal
20,21,Ashley,Scott,59,Other,Fresno,ashley.scott@kag.com,High-Value/Frequent
21,23,Mary,Rodriguez,22,Other,El Paso,mary.rodriguez@kag.com,Low-Value/New
22,24,Charles,Adams,30,Female,San Antonio,charles.adams@kag.com,High-Value/Frequent
23,25,Steven,Ramirez,29,Male,Boston,steven.ramirez@kag.com,Mid-Value/Loyal
24,26,Barbara,Hernandez,18,Female,Chicago,barbara.hernandez@kag.com,Low-Value/New
25,27,Lisa,Wilson,69,Male,Kansas City,lisa.wilson@kag.com,Low-Value/New
26,28,Amanda,Hill,60,Female,Oklahoma City,amanda.hill@kag.com,High-Value/Frequent
27,29,Matthew,Campbell,36,Male,Fresno,matthew.campbell@kag.com,Mid-Value/Loyal
28,30,Ronald,Jackson,46,Female,Baltimore,ronald.jackson@kag.com,Mid-Value/Loyal
29,31,Anthony,Anderson,64,Female,San Francisco,anthony.anderson@kag.com,Low-Value/New
30,32,Carol,Ramirez,67,Female,Jacksonville,carol.ramirez@kag.com,Low-Value/New
31,33,Betty,White,65,Female,Sacramento,betty.white@kag.com,Low-Value/New
32,34,Jessica,Davis,56,Other,Oklahoma City,jessica.davis@kag.com,Mid-Value/Loyal
33,35,Joseph,Nelson,59,Female,Seattle,joseph.nelson@kag.com,Low-Value/New
34,36,Timothy,Rodriguez,42,Female,Portland,timothy.rodriguez@kag.com,Mid-Value/Loyal
