Customer ID,First Name,Last Name,Age,Gender,Address,City,Contact Number,Email,Account Type,Account Balance,Date Of Account Opening,Last Transaction Date,TransactionID,Transaction Date,Transaction Type,Transaction Amount,Account Balance After Transaction,Branch ID,Loan ID,Loan Amount,Loan Type,Interest Rate,Loan Term,Approval/Rejection Date,Loan Status,CardID,Card Type,Credit Limit,Credit Card Balance,Minimum Payment Due,Payment Due Date,Last Credit Card Payment Date,Rewards Points,Feedback ID,Feedback Date,Feedback Type,Resolution Status,Resolution Date,Anomaly
1,Joshua,Hall,45,Male,Address_1,Fort Worth,19458794854,joshua.hall@kag.com,Current,1313.38,26-05-2006,23-04-2023,1,07-12-2023,Withdrawal,1457.61,2770.99,43,1,32200.06,Mortgage,2.64,36,11-05-2021,Rejected,1,AMEX,1737.88,4524.32,226.22,26-11-2023,20-03-2023,8142,1,06-10-2023,Suggestion,Resolved,22-01-2023,1
2,Mark,Taylor,47,Female,Address_2,Louisville,19458794855,mark.taylor@kag.com,Current,5988.46,02-03-2006,27-01-2023,2,27-04-2023,Deposit,1660.99,7649.45,63,2,47743.52,Auto,2.48,36,30-07-2020,Approved,2,MasterCard,1799.36,856.7,42.84,05-11-2023,16-06-2023,4306,2,07-04-2023,Complaint,Resolved,27-08-2023,1
3,Joseph,Flores,25,Female,Address_3,Philadelphia,19458794856,joseph.flores@kag.com,Current,8277.88,19-07-2015,01-01-2023,3,05-04-2023,Deposit,839.91,7437.97,82,3,47981.31,Auto,7.84,24,17-01-2021,Closed,3,AMEX,6112.96,3242.36,162.12,08-01-2023,20-03-2023,4842,3,07-09-2023,Praise,Pending,11-05-2023,1
4,Kevin,Lee,52,Other,Address_4,Oklahoma City,19458794857,kevin.lee@kag.com,Savings,7487.21,30-01-2008,02-08-2023,4,28-07-2023,Withdrawal,4908.89,12396.1,41,4,4482.8,Personal,7.21,48,15-02-2022,Approved,4,MasterCard,2069.41,4329.17,216.46,08-09-2023,15-10-2023,9463,4,28-05-2023,Complaint,Resolved,05-07-2023,1
5,Linda,Johnson,68,Other,Address_5,Phoenix,19458794858,linda.johnson@kag.com,Savings,6993.55,25-05-2021,27-03-2023,5,16-01-2023,Transfer,589.07,6404.48,9,5,1092.33,Mortgage,5.37,12,31-07-2020,Approved,5,Visa,2765.3,25.72,1.29,04-03-2023,27-07-2023,2209,5,12-02-2023,Complaint,Resolved,21-11-2023,1
6,Charles,Torres,52,Male,Address_6,El Paso,19458794859,charles.torres@kag.com,Savings,9295.64,21-12-2015,04-06-2023,6,21-04-2023,Withdrawal,4914.67,4380.97,20,6,48039.24,Mortgage,1.45,24,14-11-2020,Closed,6,AMEX,8029.18,1331.7,66.59,13-05-2023,16-11-2023,478,6,06-08-2023,Praise,Resolved,23-07-2023,1
7,Joshua,Garcia,43,Male,Address_7,Dallas,19458794860,joshua.garcia@kag.com,Current,4005.72,07-07-2022,21-03-2023,7,22-11-2023,Deposit,3534.9,470.82,21,7,27230.51,Mortgage,5.25,24,26-01-2020,Approved,7,MasterCard,2996.82,1441.65,72.08,16-03-2023,09-10-2023,5745,7,20-08-2023,Complaint,Pending,31-07-2023,1
8,Christopher,Baker,47,Male,Address_8,Memphis,19458794861,christopher.baker@kag.com,Savings,1458.45,14-12-2022,01-03-2023,8,10-08-2023,Deposit,454.87,1003.58,25,8,35319.63,Mortgage,8.51,12,21-10-2020,Approved,8,AMEX,4470.78,3450.21,172.51,23-07-2023,18-07-2023,5559,8,30-08-2023,Complaint,Pending,19-12-2023,1
10,William,Robinson,55,Other,Address_10,Washington,19458794863,william.robinson@kag.com,Current,9554.62,20-12-2021,05-02-2023,10,29-12-2023,Deposit,1641.59,11196.21,30,10,22224.58,Auto,1.92,24,11-09-2021,Closed,10,Visa,4961.44,2765.38,138.27,15-11-2023,07-01-2023,8226,10,20-10-2023,Complaint,Resolved,30-04-2023,1
11,William,Perez,28,Male,Address_11,San Diego,19458794864,william.perez@kag.com,Savings,5930.75,12-08-2015,18-10-2023,11,08-06-2023,Withdrawal,1309.13,7239.88,72,11,22592.01,Personal,8.28,60,20-11-2022,Rejected,11,Visa,4782.39,4564.25,228.21,07-06-2023,03-03-2023,4624,11,01-05-2023,Complaint,Pending,19-09-2023,1
